"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan., 2019"	"2019/01"	53	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb., 2019"	"2019/02"	31	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar., 2019"	"2019/03"	41	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr., 2019"	"2019/04"	48	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2019"	"2019/05"	57	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun., 2019"	"2019/06"	35	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul., 2019"	"2019/07"	49	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug., 2019"	"2019/08"	34	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep., 2019"	"2019/09"	56	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct., 2019"	"2019/10"	51	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov., 2019"	"2019/11"	41	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec., 2019"	"2019/12"	49	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jan., 2019"	"2019/01"	213	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Feb., 2019"	"2019/02"	202	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Mar., 2019"	"2019/03"	207	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Apr., 2019"	"2019/04"	168	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"May, 2019"	"2019/05"	185	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jun., 2019"	"2019/06"	190	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jul., 2019"	"2019/07"	173	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Aug., 2019"	"2019/08"	195	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Sep., 2019"	"2019/09"	178	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Oct., 2019"	"2019/10"	175	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Nov., 2019"	"2019/11"	191	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Dec., 2019"	"2019/12"	206	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Jan., 2019"	"2019/01"	28	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Feb., 2019"	"2019/02"	23	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Mar., 2019"	"2019/03"	32	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Apr., 2019"	"2019/04"	26	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"May, 2019"	"2019/05"	37	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Jun., 2019"	"2019/06"	25	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Jul., 2019"	"2019/07"	29	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Aug., 2019"	"2019/08"	34	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Sep., 2019"	"2019/09"	22	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Oct., 2019"	"2019/10"	21	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Nov., 2019"	"2019/11"	26	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Dec., 2019"	"2019/12"	31	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Jan., 2019"	"2019/01"	22	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Feb., 2019"	"2019/02"	18	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Mar., 2019"	"2019/03"	26	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Apr., 2019"	"2019/04"	25	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"May, 2019"	"2019/05"	30	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Jun., 2019"	"2019/06"	21	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Jul., 2019"	"2019/07"	17	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Aug., 2019"	"2019/08"	29	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Sep., 2019"	"2019/09"	18	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Oct., 2019"	"2019/10"	15	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Nov., 2019"	"2019/11"	24	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Dec., 2019"	"2019/12"	19	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Jan., 2019"	"2019/01"	50	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Feb., 2019"	"2019/02"	52	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Mar., 2019"	"2019/03"	71	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Apr., 2019"	"2019/04"	57	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"May, 2019"	"2019/05"	65	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Jun., 2019"	"2019/06"	66	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Jul., 2019"	"2019/07"	68	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Aug., 2019"	"2019/08"	55	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Sep., 2019"	"2019/09"	63	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Oct., 2019"	"2019/10"	61	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Nov., 2019"	"2019/11"	46	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Dec., 2019"	"2019/12"	64	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Jan., 2019"	"2019/01"	12	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Apr., 2019"	"2019/04"	10	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"May, 2019"	"2019/05"	11	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Jul., 2019"	"2019/07"	10	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Oct., 2019"	"2019/10"	15	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Dec., 2019"	"2019/12"	14	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Jan., 2019"	"2019/01"	23	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Feb., 2019"	"2019/02"	18	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Mar., 2019"	"2019/03"	26	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Apr., 2019"	"2019/04"	22	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"May, 2019"	"2019/05"	12	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Jun., 2019"	"2019/06"	17	Not Applicable	Not Applicable	0.0%
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Jul., 2019"	"2019/07"	19	Not Applicable	Not Applicable	0.0%
