"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Jan., 2018"	"2018/01"	49809	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Feb., 2018"	"2018/02"	42412	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Mar., 2018"	"2018/03"	44056	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Apr., 2018"	"2018/04"	41723	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"May, 2018"	"2018/05"	40085	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Jun., 2018"	"2018/06"	38683	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Jul., 2018"	"2018/07"	39639	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Aug., 2018"	"2018/08"	39245	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Sep., 2018"	"2018/09"	38335	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Oct., 2018"	"2018/10"	42444	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Nov., 2018"	"2018/11"	41111	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"Dec., 2018"	"2018/12"	44089	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jan., 2019"	"2019/01"	46133	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Feb., 2019"	"2019/02"	41358	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Mar., 2019"	"2019/03"	45082	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Apr., 2019"	"2019/04"	41044	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"May, 2019"	"2019/05"	40697	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jun., 2019"	"2019/06"	38906	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	39841	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	39481	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	38452	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	41722	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	41857	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	45191	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Jan., 2020"	"2020/01"	46104	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Feb., 2020"	"2020/02"	42564	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Mar., 2020"	"2020/03"	51633	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Apr., 2020"	"2020/04"	94088	Not Applicable	Not Applicable	0.8%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"May, 2020"	"2020/05"	57482	Not Applicable	Not Applicable	0.5%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Jun., 2020"	"2020/06"	41440	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Jul., 2020"	"2020/07"	41262	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Aug., 2020"	"2020/08"	40725	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Sep., 2020"	"2020/09"	40602	Not Applicable	Not Applicable	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Oct., 2020"	"2020/10"	43244	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Nov., 2020"	"2020/11"	47901	Not Applicable	Not Applicable	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"Dec., 2020"	"2020/12"	61639	Not Applicable	Not Applicable	0.5%
